0.jpg,pštros dvouprstý
242.jpg,antilopa skákavá
243.jpg,gazela
244.jpg,sajga tatarská
245.jpg,kamzík horský
246.jpg,kozorožec alpský
247.jpg,muflon
248.jpg,zubr evropský
249.jpg,bizon americký
250.jpg,buvol africký
251.jpg,pižmoň
252.jpg,plejtvák
253.jpg,keporkak
254.jpg,velryba grónská
255.jpg,delfín skákavý
256.jpg,sviňucha
257.jpg,kosatka dravá
258.jpg,narval
259.jpg,vorvaň
260.jpg,běluha
261.jpg,delfínovec amazonský
